code,request_id,last_qty,transact_time,original_request_id
SZ.000001,379586,100,2021-05-19 09:30:00.050,379551
SZ.000001,429438,5000,2021-05-19 09:30:00.500,429051
SZ.000001,430066,2600,2021-05-19 09:30:00.510,381917
SZ.000001,539074,2000,2021-05-19 09:30:02.750,514966
SZ.000001,539794,6000,2021-05-19 09:30:02.770,491142
SZ.000001,540571,500,2021-05-19 09:30:02.810,385648
SZ.000001,545164,200,2021-05-19 09:30:02.970,491660
SZ.000001,548599,400,2021-05-19 09:30:03.080,546493
SZ.000001,572698,2500,2021-05-19 09:30:03.930,572694
SZ.000001,577413,300,2021-05-19 09:30:04.130,520028
SZ.000001,592291,12000,2021-05-19 09:30:04.830,405416
SZ.000001,608231,100,2021-05-19 09:30:05.760,598928
SZ.000001,649048,300,2021-05-19 09:30:09.230,404015
SZ.000001,649095,300,2021-05-19 09:30:09.230,404694
SZ.000001,649102,300,2021-05-19 09:30:09.230,404742
SZ.000001,650159,400,2021-05-19 09:30:09.360,418756
SZ.000001,650737,400,2021-05-19 09:30:09.490,441123
SZ.000001,650912,400,2021-05-19 09:30:09.520,430513
SZ.000001,651571,300,2021-05-19 09:30:09.610,437552
SZ.000001,655561,4500,2021-05-19 09:30:10.070,641173
SZ.000001,657536,4500,2021-05-19 09:30:10.220,487281
SZ.000001,666819,300,2021-05-19 09:30:11.670,618535
SZ.000001,670424,1800,2021-05-19 09:30:12.240,649064
SZ.000001,672159,300,2021-05-19 09:30:12.520,646908
SZ.000001,672323,1600,2021-05-19 09:30:12.550,620267
SZ.000001,672324,100,2021-05-19 09:30:12.550,620264
SZ.000001,672333,100,2021-05-19 09:30:12.550,620233
SZ.000001,672334,1800,2021-05-19 09:30:12.550,620274
SZ.000001,672336,100,2021-05-19 09:30:12.550,620248
SZ.000001,672337,100,2021-05-19 09:30:12.550,620245
SZ.000001,672705,100,2021-05-19 09:30:12.600,650342
SZ.000001,683315,200,2021-05-19 09:30:14.010,676914
SZ.000001,688822,1100,2021-05-19 09:30:15.180,494152
SZ.000001,689851,7300,2021-05-19 09:30:15.310,546931
SZ.000001,691560,3000,2021-05-19 09:30:15.640,549430
SZ.000001,691597,200,2021-05-19 09:30:15.650,670432
SZ.000001,697498,100,2021-05-19 09:30:16.410,557660
SZ.000001,698996,4500,2021-05-19 09:30:16.670,682231
SZ.000001,700880,5500,2021-05-19 09:30:17.080,477754
SZ.000001,701793,100,2021-05-19 09:30:17.270,579514
SZ.000001,702732,200,2021-05-19 09:30:17.410,669475
SZ.000001,702776,600,2021-05-19 09:30:17.410,669488
SZ.000001,702783,200,2021-05-19 09:30:17.410,669440
SZ.000001,702800,200,2021-05-19 09:30:17.410,612579
SZ.000001,702850,700,2021-05-19 09:30:17.420,669640
SZ.000001,702900,200,2021-05-19 09:30:17.430,669441
SZ.000001,702909,100,2021-05-19 09:30:17.430,591219
SZ.000001,706393,800,2021-05-19 09:30:18.260,460510
SZ.000001,706397,100,2021-05-19 09:30:18.260,460494
SZ.000001,706411,400,2021-05-19 09:30:18.270,461134
SZ.000001,706416,400,2021-05-19 09:30:18.270,606988
SZ.000001,706431,200,2021-05-19 09:30:18.270,625409
SZ.000001,706634,100,2021-05-19 09:30:18.290,600580
SZ.000001,706684,100,2021-05-19 09:30:18.290,684914
SZ.000001,706801,400,2021-05-19 09:30:18.290,678812
SZ.000001,707035,100,2021-05-19 09:30:18.340,603621
SZ.000001,707787,100,2021-05-19 09:30:18.510,691004
SZ.000001,707836,100,2021-05-19 09:30:18.520,690974
SZ.000001,710634,500,2021-05-19 09:30:18.970,679383
SZ.000001,710688,200,2021-05-19 09:30:18.980,679306
SZ.000001,712266,8700,2021-05-19 09:30:19.150,530054
SZ.000001,714260,100,2021-05-19 09:30:19.390,615118
SZ.000001,715031,100,2021-05-19 09:30:19.500,619460
SZ.000001,715525,1700,2021-05-19 09:30:19.590,648610
SZ.000001,715932,2000,2021-05-19 09:30:19.690,664876
SZ.000001,716346,200,2021-05-19 09:30:19.810,684333
SZ.000001,716390,500,2021-05-19 09:30:19.820,684446
SZ.000001,718966,100,2021-05-19 09:30:20.300,630509
SZ.000001,719140,100,2021-05-19 09:30:20.330,631698
SZ.000001,719849,13000,2021-05-19 09:30:20.460,392056
SZ.000001,721107,300,2021-05-19 09:30:20.780,667349
SZ.000001,721840,3200,2021-05-19 09:30:20.980,426763
SZ.000001,722853,300,2021-05-19 09:30:21.190,531550
SZ.000001,724001,100,2021-05-19 09:30:21.360,645693
SZ.000001,724012,100,2021-05-19 09:30:21.360,645694
SZ.000001,724471,100,2021-05-19 09:30:21.480,646449
