code,order_time,request_id,order_price,order_qty,side
SZ.000001,2021-05-19 09:30:00.000,370017,23.84,4000,Ask
SZ.000001,2021-05-19 09:30:00.000,370530,24.28,5000,Ask
SZ.000001,2021-05-19 09:30:00.020,372732,24.28,1000,Ask
SZ.000001,2021-05-19 09:30:00.020,374708,23.87,20500,Bid
SZ.000001,2021-05-19 09:30:00.020,374746,23.88,25400,Bid
SZ.000001,2021-05-19 09:30:00.030,375522,23.82,100,Bid
SZ.000001,2021-05-19 09:30:00.030,376233,23.82,1500,Ask
SZ.000001,2021-05-19 09:30:00.030,376558,24.6,2000,Ask
SZ.000001,2021-05-19 09:30:00.030,376568,23.51,500,Bid
SZ.000001,2021-05-19 09:30:00.030,376632,23.01,500,Bid
SZ.000001,2021-05-19 09:30:00.030,376639,23.31,500,Bid
SZ.000001,2021-05-19 09:30:00.030,377057,23.02,600,Bid
SZ.000001,2021-05-19 09:30:00.030,377234,23.8,100,Ask
SZ.000001,2021-05-19 09:30:00.030,377544,23.85,300,Bid
SZ.000001,2021-05-19 09:30:00.040,378198,23.2,500,Bid
SZ.000001,2021-05-19 09:30:00.040,378532,26.2,2000,Ask
SZ.000001,2021-05-19 09:30:00.040,378684,23.8,62800,Ask
SZ.000001,2021-05-19 09:30:00.040,378754,26.0,2000,Ask
SZ.000001,2021-05-19 09:30:00.040,378924,23.6,200,Bid
SZ.000001,2021-05-19 09:30:00.040,378962,25.5,2000,Ask
SZ.000001,2021-05-19 09:30:00.040,379182,25.0,1000,Ask
SZ.000001,2021-05-19 09:30:00.040,379425,24.8,1000,Ask
SZ.000001,2021-05-19 09:30:00.050,379546,24.5,1000,Ask
SZ.000001,2021-05-19 09:30:00.050,379551,22.0,100,Bid
SZ.000001,2021-05-19 09:30:00.050,380347,23.45,6500,Bid
SZ.000001,2021-05-19 09:30:00.060,381260,23.35,500,Bid
SZ.000001,2021-05-19 09:30:00.070,381595,23.86,2500,Ask
SZ.000001,2021-05-19 09:30:00.070,381917,23.83,2600,Ask
SZ.000001,2021-05-19 09:30:00.070,381945,24.59,5000,Ask
SZ.000001,2021-05-19 09:30:00.070,381949,23.41,5000,Bid
SZ.000001,2021-05-19 09:30:00.070,382396,23.82,1000,Ask
SZ.000001,2021-05-19 09:30:00.070,382486,23.82,200,Bid
SZ.000001,2021-05-19 09:30:00.070,382491,23.85,300,Ask
SZ.000001,2021-05-19 09:30:00.070,382729,24.22,1000,Ask
SZ.000001,2021-05-19 09:30:00.080,382979,23.8,31400,Ask
SZ.000001,2021-05-19 09:30:00.080,383866,23.9,21000,Bid
SZ.000001,2021-05-19 09:30:00.080,384220,23.81,300,Ask
SZ.000001,2021-05-19 09:30:00.090,384637,23.7,2000,Bid
SZ.000001,2021-05-19 09:30:00.090,385066,23.9,300,Ask
SZ.000001,2021-05-19 09:30:00.090,385279,23.99,200,Ask
SZ.000001,2021-05-19 09:30:00.100,385648,24.06,500,Ask
SZ.000001,2021-05-19 09:30:00.100,385883,23.15,2200,Bid
SZ.000001,2021-05-19 09:30:00.100,386467,23.8,2000,Bid
SZ.000001,2021-05-19 09:30:00.100,386574,23.35,300,Bid
SZ.000001,2021-05-19 09:30:00.110,387131,24.08,200,Ask
SZ.000001,2021-05-19 09:30:00.110,387861,24.37,10000,Ask
SZ.000001,2021-05-19 09:30:00.110,388089,24.58,500,Ask
SZ.000001,2021-05-19 09:30:00.120,388570,23.8,31900,Ask
SZ.000001,2021-05-19 09:30:00.120,389073,23.82,100,Bid
SZ.000001,2021-05-19 09:30:00.120,389239,24.58,500,Ask
SZ.000001,2021-05-19 09:30:00.120,389262,23.21,500,Bid
SZ.000001,2021-05-19 09:30:00.120,389288,23.5,3000,Bid
SZ.000001,2021-05-19 09:30:00.130,390332,23.0,400,Bid
SZ.000001,2021-05-19 09:30:00.130,390404,23.8,500,Bid
SZ.000001,2021-05-19 09:30:00.130,390782,24.46,100,Ask
SZ.000001,2021-05-19 09:30:00.130,390786,24.5,500,Ask
SZ.000001,2021-05-19 09:30:00.130,390845,24.86,1700,Ask
SZ.000001,2021-05-19 09:30:00.130,391420,26.29,200,Ask
SZ.000001,2021-05-19 09:30:00.130,391492,24.0,100,Ask
SZ.000001,2021-05-19 09:30:00.130,391573,23.82,200,Ask
